player_name,info,overall_rating,potential_rating,age,wages,primary_foot,work_rate,strong_foot,weak_foot,release_clause,ref_url,hieght,weight,club,country
 Arlés Flores ," CDM, CM |    2016 - 2022  ", 70 , 70 , 29 ,  €1.4M €8.5K , R , M / H , 2   , 3   , €0 ,/player/233532/arles-flores," 175cm | 5'8"" ", Average (78kg | 172lbs) ,Deportivo La Guaira,Venezuela
 Kristiyan Malinov ," CDM, CM |    2020 - 2023  ", 70 , 73 , 26 ,  €1.9M €7.8K , R , M / M , 2   , 3   , €0 ,/player/233544/kristiyan-malinov," 170cm | 5'6"" ", Short & Lean- (65kg | 143lbs) ,OH Leuven,Bulgaria
 Jacob Lungi Sørensen ," LB, CM, CDM |    2020 - 2024  ", 70 , 76 , 22 ,  €2.4M €5.5K , R , H / H , 3   , 3   , €5.7M ,/player/233705/jacob-lungi-sorensen," 184cm | 6'0"" ", Lean (77kg | 170lbs) ,Norwich City,Denmark
 Mamadou Fall ," RM, LM, CAM |    2016 - 2022  ", 70 , 70 , 28 ,  €1.6M €8.9K , R , H / M , 3   , 3   , €2.7M ,/player/233897/mamadou-fall," 184cm | 6'0"" ", Lean (72kg | 159lbs) ,Charleroi,Senegal
 Leonardo Duarte da Silva , CB |    2019 - 2024  , 70 , 77 , 23 ,  €3M €15K , R , L / H , 2   , 2   , €0 ,/player/233926/leonardo-duarte-da-silva," 183cm | 6'0"" ", Average (76kg | 168lbs) ,Istanbul Başakşehir FK,Brazil
 Cristian Calderón ," LB, LM, CM |    2020 - 2022  ", 70 , 74 , 23 ,  €2.1M €18.5K , L , H / M , 3   , 3   , €4.3M ,/player/233954/cristian-calderon," 176cm | 5'9"" ", Average (69kg | 152lbs) ,Guadalajara,Mexico
 Victor Bereitta ," LB, CB |    2021 - 2023  ", 70 , 70 , 24 ,  €1.7M €9.7K , L , M / M , 2   , 3   , €0 ,/player/233978/victor-bereitta," 178cm | 5'10"" ", Average (71kg | 157lbs) ,Coritiba,Brazil
 Jairo Farnias , GK |    2019 - 2023  , 70 , 70 , 20 ,  €1.3M €6.8K , L , M / M , 1   , 3   , €2.7M ,/player/233999/jairo-farnias," 179cm | 5'10"" ", Average (76kg | 168lbs) ,Internacional,Brazil
 İrfan Can Eğribayat , GK |    2020 - 2025  , 70 , 79 , 22 ,  €3.1M €8.2K , R , M / M , 1   , 2   , €0 ,/player/234341/irfan-can-egribayat," 193cm | 6'3"" ", High & Average (79kg | 174lbs) ,Göztepe,Turkey
 Markus Schubert , GK |    2019 - 2023  , 70 , 80 , 22 ,  €3.1M €8.9K , R , M / M , 1   , 3   , €0 ,/player/234383/markus-schubert," 187cm | 6'1"" ", High & Average (82kg | 181lbs) ,Eintracht Frankfurt,Germany
 Luis Reyes ," LB, CB |    2018 - 2023  ", 70 , 70 , 29 ,  €1.4M €7.6K , L , H / H , 3   , 3   , €0 ,/player/234578/luis-reyes," 185cm | 6'0"" ", High & Average+ (65kg | 143lbs) ,Atlas,Mexico
 Johan Moreno ," CAM, ST |    2020 - 2021  ", 70 , 70 , 29 ,  €1.6M €7.9K , R , H / L , 3   , 3   , €0 ,/player/234630/johan-moreno," 169cm | 5'6"" ", Short & Lean- (72kg | 159lbs) ,Metropolitanos FC,Venezuela
 Jaílson Marques Siqueira ," CB, CDM |    2020 - 2021  ", 70 , 73 , 24 ,  €1.9M €7.5K , R , M / M , 2   , 3   , €0 ,/player/234660/jailson-marques-siqueira," 188cm | 6'2"" ", High & Average+ (74kg | 163lbs) ,Dalian Professional,Brazil
 Samuele Campo , CAM |    2017 - 2022  , 70 , 74 , 25 ,  €2.2M €11K , L , H / M , 3   , 3   , €0 ,/player/234688/samuele-campo," 177cm | 5'9"" ", Lean (70kg | 154lbs) ,SV Darmstadt 98,Switzerland
 Joseph Attamah ," CDM, CB |    2020 - 2023  ", 70 , 73 , 26 ,  €1.9M €7.7K , R , L / H , 2   , 2   , €0 ,/player/234716/joseph-attamah," 180cm | 5'10"" ", Lean (80kg | 176lbs) ,Kayserispor,Ghana
 Sung Yun Gu , GK |    2021 - 2023  , 70 , 73 , 26 ,  €1.6M €2.2K , R , M / M , 1   , 2   , €0 ,/player/234748/sung-yun-gu," 195cm | 6'4"" ", High & Average+ (82kg | 181lbs) ,Gimcheon Sangmu,Korea Republic
 Arkadiusz Reca ," LM, LB |    2018 - 2022  ", 70 , 73 , 25 ,  €2.1M €7.2K , L , M / M , 3   , 3   , €0 ,/player/234760/arkadiusz-reca," 187cm | 6'1"" ", High & Average+ (81kg | 179lbs) ,Crotone,Poland
 Soriano , GK |    2016 - 2022  , 70 , 77 , 22 ,  €2.8M €3.8K , L , M / M , 1   , 2   , €0 ,/player/234790/soriano," 185cm | 6'0"" ", High & Average+ (78kg | 172lbs) ,Málaga CF,Spain
 Lazar Rosic , CB |    2019 - 2022  , 70 , 73 , 27 ,  €1.8M €7.2K , R , M / M , 2   , 3   , €0 ,/player/235002/lazar-rosic," 190cm | 6'2"" ", High & Average (82kg | 181lbs) ,Moreirense,Serbia
 Brayan Riascos ," ST, RW |    2018 - 2023  ", 70 , 71 , 25 ,  €1.9M €7.1K , R , H / M , 3   , 3   , €4.7M ,/player/235077/brayan-riascos," 183cm | 6'0"" ", Stocky (80kg | 176lbs) ,Nacional (Madeira),Colombia
 Andrés Iniestra ," CM, CDM |    2014 - 2023 |  R.Face  ", 70 , 75 , 24 ,  €2.4M €6.9K , R , M / M , 3   , 3   , €0 ,/player/235123/andres-iniestra," 176cm | 5'9"" ", Average (79kg | 174lbs) ,FC Juárez,Mexico
 Husein Balic ," CF, LW, ST |    2020 - 2024  ", 70 , 74 , 24 ,  €2.3M €14K , R , M / M , 3   , 3   , €0 ,/player/235135/husein-balic," 183cm | 6'0"" ", Average (75kg | 165lbs) ,LASK,Austria
 Benito ," RM, LM, LB |    2015 - 2024  ", 70 , 72 , 24 ,  €2.1M €5.4K , L , M / M , 3   , 3   , €3.9M ,/player/235515/benito," 179cm | 5'10"" ", Average (70kg | 154lbs) ,UD Las Palmas,Spain
 Samir Memiševic ," CDM, CB |    2020 - 2022  ", 70 , 72 , 26 ,  €1.8M €7.6K , R , L / H , 3   , 3   , €0 ,/player/235544/samir-memisevic," 186cm | 6'1"" ", High & Average (82kg | 181lbs) ,Hebei FC,Bosnia and Herzegovina
 Srđan Babić , CB |    2018 - 2021  , 70 , 77 , 24 ,  €3M €5.3K , L , M / M , 2   , 3   , €7.8M ,/player/235589/srdan-babic," 195cm | 6'4"" ", High & Average (86kg | 190lbs) ,Famalicão,Bosnia and Herzegovina
 Álvaro Jiménez , RM |    2020 - 2022  , 70 , 71 , 25 ,  €1.9M €5.1K , R , H / M , 3   , 3   , €3.6M ,/player/235623/alvaro-jimenez," 175cm | 5'8"" ", Average (71kg | 157lbs) ,Albacete Balompié,Spain
 Ryan Yates ," CDM, CM |    2016 - 2023  ", 70 , 79 , 22 ,  €3.4M €20K , R , H / H , 2   , 3   , €0 ,/player/235642/ryan-yates," 190cm | 6'2"" ", High & Average (77kg | 170lbs) ,Nottingham Forest,England
 Dario Maresic , CB |    2019 - 2024  , 70 , 82 , 20 ,  €3.6M €9K , R , M / M , 2   , 5   , €0 ,/player/235673/dario-maresic," 183cm | 6'0"" ", Lean (74kg | 163lbs) ,Stade de Reims,Austria
 Joel Soñora ," CAM, CM |    2018 - 2021  ", 70 , 76 , 23 ,  €2.5M €7.6K , R , H / L , 3   , 4   , €0 ,/player/235719/joel-sonora," 174cm | 5'8"" ", Average (73kg | 161lbs) ,Talleres de Córdoba,United States
 Alberto Paleari , GK |    2016 - 2021  , 70 , 72 , 27 ,  €1.5M €7K , R , M / M , 1   , 3   , €0 ,/player/235740/alberto-paleari," 193cm | 6'3"" ", High & Average (88kg | 194lbs) ,Genoa,Italy
 Mamadou Fofana ," CDM, CB |    2018 - 2024  ", 70 , 78 , 22 ,  €3.4M €8.3K , R , L / H , 2   , 3   , €0 ,/player/235849/mamadou-fofana," 186cm | 6'1"" ", High & Average+ (75kg | 165lbs) ,FC Metz,Mali
 Rafa Navarro ," RB, RWB |    2018 - 2021  ", 70 , 71 , 26 ,  €1.7M €11.5K , R , H / M , 2   , 3   , €4.4M ,/player/235943/rafa-navarro," 173cm | 5'8"" ", Average (64kg | 141lbs) ,Deportivo Alavés,Spain
 Juan Brunetta ," LM, ST, CAM |    2019 - 2022  ", 70 , 75 , 23 ,  €2.4M €14.5K , R , M / M , 3   , 3   , €0 ,/player/235947/juan-brunetta," 172cm | 5'7"" ", Lean (68kg | 150lbs) ,Parma,Argentina
 Mario González ," ST, RM |    2020 - 2022  ", 70 , 75 , 24 ,  €2.4M €4.6K , R , M / M , 3   , 3   , €0 ,/player/235970/mario-gonzalez," 184cm | 6'0"" ", Average (76kg | 168lbs) ,Tondela,Spain
 Kyle Duncan ," RB, LB |    2018 - 2021  ", 70 , 77 , 22 ,  €3.1M €3.9K , R , H / M , 2   , 3   , €5.8M ,/player/236038/kyle-duncan," 177cm | 5'9"" ", Lean (68kg | 150lbs) ,New York Red Bulls,United States
 Ivan Zlobin , GK |    2020 - 2025  , 70 , 78 , 23 ,  €3.1M €4.1K , R , M / M , 1   , 2   , €0 ,/player/236046/ivan-zlobin," 191cm | 6'3"" ", High & Average (84kg | 185lbs) ,Famalicão,Russia
 Vinicius Trieiro , RB |    2019 - 2023  , 70 , 70 , 28 ,  €1.4M €12K , R , M / M , 3   , 3   , €0 ,/player/236111/vinicius-trieiro," 177cm | 5'9"" ", Average (73kg | 161lbs) ,Botafogo,Brazil
 Jailson Oliva , RB |    2019 - 2023  , 70 , 70 , 28 ,  €1.4M €17K , R , M / M , 3   , 3   , €0 ,/player/236113/jailson-oliva," 171cm | 5'7"" ", Average (65kg | 143lbs) ,Atlético Mineiro,Brazil
 Luan Sendeiro , CDM |    2019 - 2023  , 70 , 70 , 28 ,  €1.4M €13.5K , R , M / M , 2   , 3   , €0 ,/player/236145/luan-sendeiro," 181cm | 5'11"" ", Average (78kg | 172lbs) ,Internacional,Brazil
 Lourival Rodeiro , CM |    2019 - 2023  , 70 , 70 , 28 ,  €1.6M €15K , R , M / M , 2   , 3   , €0 ,/player/236147/lourival-rodeiro," 181cm | 5'11"" ", Average (73kg | 161lbs) ,Palmeiras,Brazil
 Martin Cordeia ," CAM, CM |    2019 - 2023  ", 70 , 70 , 24 ,  €1.8M €12.5K , R , M / M , 3   , 3   , €4M ,/player/236164/martin-cordeia," 181cm | 5'11"" ", Stocky (76kg | 168lbs) ,Internacional,Brazil
 Marlion Rolim , CAM |    2019 - 2023  , 70 , 70 , 28 ,  €1.6M €9.3K , R , M / M , 3   , 3   , €0 ,/player/236175/marlion-rolim," 175cm | 5'8"" ", Average (70kg | 154lbs) ,RB Bragantino,Brazil
 Túlio Sandoiro , ST |    2019 - 2023  , 70 , 70 , 24 ,  €1.9M €12K , R , M / M , 4   , 3   , €0 ,/player/236189/tulio-sandoiro," 186cm | 6'1"" ", High & Average (82kg | 181lbs) ,Coritiba,Brazil
 Darío Aimar , CB |    2016 - 2022  , 70 , 74 , 25 ,  €2M €13K , R , L / M , 2   , 3   , €0 ,/player/236267/dario-aimar," 182cm | 5'11"" ", Average (80kg | 176lbs) ,Barcelona SC Guayaquil,Ecuador
 Koke Vegas , GK |    2016 - 2022  , 70 , 76 , 24 ,  €2M €3.5K , R , M / M , 1   , 3   , €0 ,/player/236301/koke-vegas," 188cm | 6'2"" ", High & Average (88kg | 194lbs) ,RCD Mallorca,Spain
 Cédric Zesiger ," CB, LB |    2019 - 2023  ", 70 , 80 , 22 ,  €3.3M €9.7K , L , L / M , 2   , 3   , €0 ,/player/236369/cedric-zesiger," 194cm | 6'4"" ", High & Average (88kg | 194lbs) ,BSC Young Boys,Switzerland
 Maximiliano Olivera ," LB, LM |    2020 - 2021  ", 70 , 70 , 28 ,  €1.4M €24K , L , H / M , 3   , 3   , €0 ,/player/236382/maximiliano-olivera," 181cm | 5'11"" ", Average (80kg | 176lbs) ,Fiorentina,Uruguay
 Steven Alzate ," CM, CAM |    2017 - 2024 |  R.Face  ", 70 , 79 , 21 ,  €3.6M €20.5K , R , M / M , 3   , 3   , €0 ,/player/236529/steven-alzate," 180cm | 5'10"" ", Lean (75kg | 165lbs) ,Brighton &amp; Hove Albion,Colombia
 Mohamed Buya Turay , ST |    2021 - 2021  , 70 , 70 , 25 ,  €1.8M €8.7K , R , H / M , 3   , 3   , €0 ,/player/237051/mohamed-buya-turay," 178cm | 5'10"" ", Average (70kg | 154lbs) ,Henan Songshan Longmen FC,Sierra Leone
 Eddie Segura , CB |    2018 - 2021  , 70 , 76 , 23 ,  €2.3M €3.9K , R , L / H , 2   , 3   , €4.4M ,/player/237245/eddie-segura," 175cm | 5'8"" ", Average (70kg | 154lbs) ,Los Angeles FC,Colombia
 Aaron Connolly , ST |    2017 - 2024 |  R.Face  , 70 , 77 , 20 ,  €3.2M €23K , R , M / L , 2   , 3   , €0 ,/player/237286/aaron-connolly," 173cm | 5'8"" ", Stocky (77kg | 170lbs) ,Brighton &amp; Hove Albion,Republic of Ireland
 Carlinhos ," ST, CF, LW |    2020 - 2024  ", 70 , 72 , 25 ,  €2M €3.2K , R , H / M , 4   , 4   , €0 ,/player/237340/carlinhos," 174cm | 5'8"" ", Stocky (71kg | 157lbs) ,Shimizu S-Pulse,Brazil
 Juan José Nieto Zarzoso , RB |    2019 - 2021  , 70 , 73 , 25 ,  €1.9M €5.8K , R , H / L , 3   , 3   , €0 ,/player/237376/juan-jose-nieto-zarzoso," 175cm | 5'8"" ", Average (71kg | 157lbs) ,Real Oviedo,Spain
 Genta Miura , CB |    2017 - 2022 |  R.Face  , 70 , 73 , 25 ,  €1.9M €6.4K , R , M / M , 2   , 3   , €0 ,/player/237429/genta-miura," 183cm | 6'0"" ", Average (77kg | 170lbs) ,Gamba Osaka,Japan
 Hannes Delcroix , CB |    2017 - 2024  , 70 , 78 , 21 ,  €3.3M €8K , L , M / M , 2   , 2   , €6.3M ,/player/237440/hannes-delcroix," 185cm | 6'0"" ", High & Average (75kg | 165lbs) ,Anderlecht,Belgium
 Marcus Tavernier ," RM, CAM, CM |    2016 - 2023  ", 70 , 80 , 21 ,  €3.6M €7.6K , L , H / M , 3   , 3   , €0 ,/player/237477/marcus-tavernier," 177cm | 5'9"" ", Average (70kg | 154lbs) ,Middlesbrough,England
 Djordje Mihailovic ," CAM, CM |    2021 - 2022  ", 70 , 75 , 21 ,  €2.4M €3.7K , R , H / H , 3   , 4   , €4.3M ,/player/237496/djordje-mihailovic," 178cm | 5'10"" ", Lean (69kg | 152lbs) ,CF Montréal,United States
 Gastón Togni ," LW, LWB, LM |    2017 - 2023  ", 70 , 77 , 22 ,  €3.2M €9.9K , L , M / H , 3   , 3   , €6.3M ,/player/237512/gaston-togni," 180cm | 5'10"" ", Average (76kg | 168lbs) ,Independiente,Argentina
 Oussama Haddadi , LB |    2019 - 2023  , 70 , 70 , 28 ,  €1.4M €8.1K , L , H / M , 3   , 3   , €0 ,/player/237548/oussama-haddadi," 184cm | 6'0"" ", Average (85kg | 187lbs) ,Kasımpaşa,Tunisia
 Merveille Bokadi ," CB, CDM |    2017 - 2022  ", 70 , 75 , 24 ,  €2.2M €7.2K , R , M / M , 2   , 2   , €4M ,/player/237554/merveille-bokadi," 186cm | 6'1"" ", High & Average (82kg | 181lbs) ,Standard Liège,Congo DR
 Katsuya Nagato , LB |    2020 - 2022  , 70 , 72 , 25 ,  €1.8M €5.2K , L , H / M , 3   , 3   , €0 ,/player/237582/katsuya-nagato," 173cm | 5'8"" ", Average (73kg | 161lbs) ,Kashima Antlers,Japan
 Bruno Xadas ," CAM, RM, LM |    2016 - 2022  ", 70 , 75 , 22 ,  €2.4M €5.8K , L , M / M , 4   , 3   , €0 ,/player/237670/bruno-xadas," 179cm | 5'10"" ", Average (72kg | 159lbs) ,Mouscron,Portugal
 Magnus Kofod Andersen , CM |    2017 - 2022  , 70 , 78 , 21 ,  €3.6M €5.9K , R , M / M , 3   , 3   , €0 ,/player/237840/magnus-kofod-andersen," 176cm | 5'9"" ", Average (72kg | 159lbs) ,FC Nordsjælland,Denmark
 Riku Matsuda ," RB, RM |    2016 - 2022  ", 70 , 70 , 28 ,  €1.4M €5.1K , R , M / H , 2   , 2   , €0 ,/player/238137/riku-matsuda," 171cm | 5'7"" ", Average (69kg | 152lbs) ,Cerezo Osaka,Japan
 Enzo Copetti , ST |    2017 - 2022  , 70 , 73 , 24 ,  €2.2M €9.9K , R , H / M , 2   , 4   , €0 ,/player/238332/enzo-copetti," 180cm | 5'10"" ", Stocky (88kg | 194lbs) ,Racing Club de Avellaneda,Argentina
 Ilias Chair ," CAM, LM |    2017 - 2025  ", 70 , 77 , 22 ,  €3.2M €5.5K , R , H / M , 3   , 2   , €0 ,/player/238490/ilias-chair," 171cm | 5'7"" ", Average (64kg | 141lbs) ,Queens Park Rangers,Morocco
 Amine Bassi ," CAM, CM, RM |    2017 - 2021  ", 70 , 77 , 22 ,  €3.2M €3.6K , R , H / L , 4   , 4   , €0 ,/player/238504/amine-bassi," 173cm | 5'8"" ", Average (69kg | 152lbs) ,AS Nancy,Morocco
 Leo Østigård , CB |    2018 - 2022  , 70 , 80 , 20 ,  €3.3M €15K , R , M / H , 2   , 3   , €0 ,/player/238516/leo-ostigard," 185cm | 6'0"" ", High & Average (81kg | 179lbs) ,Coventry City,Norway
 Idriz Voca ," CDM, CM |    2020 - 2022  ", 70 , 77 , 23 ,  €3M €11K , R , M / H , 2   , 3   , €0 ,/player/238580/idriz-voca," 181cm | 5'11"" ", Average (74kg | 163lbs) ,MKE Ankaragücü,Kosovo
 Lewis Wing ," CM, CAM |    2017 - 2022  ", 70 , 74 , 25 ,  €2.2M €22K , R , M / M , 3   , 3   , €0 ,/player/238839/lewis-wing," 186cm | 6'1"" ", High & Average+ (79kg | 174lbs) ,Rotherham United,England
 Christopher Antwi-Adjej ," LW, RW |    2017 - 2021  ", 70 , 70 , 26 ,  €1.7M €12.5K , R , M / L , 3   , 3   , €0 ,/player/239073/christopher-antwi-adjej," 173cm | 5'8"" ", Average (72kg | 159lbs) ,SC Paderborn 07,Ghana
 Atakan Karazor ," CB, CDM, CM |    2019 - 2023  ", 70 , 74 , 23 ,  €2.1M €10.5K , R , M / M , 2   , 3   , €4.3M ,/player/239096/atakan-karazor," 190cm | 6'2"" ", High & Average+ (76kg | 168lbs) ,VfB Stuttgart,Germany
 Abel Ruiz , ST |    2020 - 2025  , 70 , 84 , 20 ,  €3.9M €6.6K , R , H / M , 4   , 3   , €11.3M ,/player/239250/abel-ruiz," 182cm | 5'11"" ", Average (73kg | 161lbs) ,Braga,Spain
 Giannis Anestis , GK |    2019 - 2021  , 70 , 71 , 29 ,  €1.2M €2.5K , R , M / M , 1   , 2   , €0 ,/player/239271/giannis-anestis," 198cm | 6'5"" ", High & Average+ (93kg | 205lbs) ,IFK Göteborg,Greece
 Julian Chabot , CB |    2019 - 2024  , 70 , 76 , 22 ,  €2.3M €7.8K , L , M / M , 2   , 2   , €0 ,/player/239340/julian-chabot," 195cm | 6'4"" ", High & Average (85kg | 187lbs) ,Borgocalcio (Spezia),Germany
 Dani de Wit ," CM, CAM |    2019 - 2024  ", 70 , 76 , 22 ,  €2.5M €5.5K , R , H / H , 3   , 3   , €0 ,/player/239361/dani-de-wit," 184cm | 6'0"" ", Average (75kg | 165lbs) ,AZ,Holland
 Dominik Frieser ," RW, LW, ST |    2020 - 2022  ", 70 , 70 , 26 ,  €1.7M €9K , R , M / M , 2   , 3   , €0 ,/player/239393/dominik-frieser," 176cm | 5'9"" ", Average (76kg | 168lbs) ,Barnsley,Austria
 Mboula Queralt ," RM, RW |    2020 - 2024  ", 70 , 80 , 21 ,  €3.6M €4.2K , R , M / M , 3   , 4   , €7M ,/player/239441/mboula-queralt," 183cm | 6'0"" ", Lean (74kg | 163lbs) ,RCD Mallorca,Spain
 Jonathan González ," CM, CDM |    2017 - 2022  ", 70 , 75 , 21 ,  €2.4M €15.5K , R , M / H , 3   , 3   , €0 ,/player/239475/jonathan-gonzalez," 175cm | 5'8"" ", Lean (62kg | 137lbs) ,Monterrey,Mexico
 Andreaw Gravillon , CB |    2019 - 2022  , 70 , 76 , 22 ,  €2.3M €12.5K , R , M / M , 2   , 3   , €0 ,/player/239550/andreaw-gravillon," 185cm | 6'0"" ", High & Average (80kg | 176lbs) ,FC Lorient,France
 Gerzino Nyamsi , CB |    2018 - 2024  , 70 , 75 , 23 ,  €2.2M €17.5K , R , M / M , 2   , 2   , €0 ,/player/239575/gerzino-nyamsi," 194cm | 6'4"" ", High & Average (91kg | 201lbs) ,Stade Rennais,France
 Alan Cervantes ," CDM, CM |    2021 - 2022  ", 70 , 79 , 22 ,  €3.4M €11K , R , M / H , 2   , 3   , €7.2M ,/player/239617/alan-cervantes," 181cm | 5'11"" ", Lean (68kg | 150lbs) ,Santos Laguna,Mexico
 Jonathan Levi ," RW, RM |    2020 - 2023  ", 70 , 73 , 24 ,  €2.2M €4.2K , L , M / L , 3   , 3   , €0 ,/player/239669/jonathan-levi," 185cm | 6'0"" ", High & Average+ (75kg | 165lbs) ,IFK Norrköping,Sweden
 Marko Raguž , ST |    2019 - 2024  , 70 , 77 , 22 ,  €3.3M €14K , R , M / M , 3   , 3   , €6.3M ,/player/239708/marko-raguz," 186cm | 6'1"" ", High & Average (79kg | 174lbs) ,LASK,Austria
 Szymon Żurkowski , CM |    2019 - 2023  , 70 , 79 , 22 ,  €3.6M €11K , R , H / H , 3   , 3   , €0 ,/player/239732/szymon-zurkowski," 185cm | 6'0"" ", High & Average (77kg | 170lbs) ,Empoli,Poland
 Sergio Córdova , ST |    2017 - 2025 |  R.Face  , 70 , 78 , 22 ,  €3.6M €12.5K , R , M / M , 3   , 2   , €0 ,/player/239747/sergio-cordova," 188cm | 6'2"" ", High & Stocky (87kg | 192lbs) ,Arminia Bielefeld,Venezuela
 Jakub Moder ," CDM, LM |    2020 - 2025  ", 70 , 83 , 21 ,  €3.7M €18K , R , H / M , 2   , 5   , €0 ,/player/239778/jakub-moder," 188cm | 6'2"" ", High & Average+ (78kg | 172lbs) ,Brighton &amp; Hove Albion,Poland
 Fernando Beltrán ," CDM, CM |    2015 - 2024  ", 70 , 80 , 22 ,  €3.4M €18.5K , R , M / H , 3   , 4   , €0 ,/player/239945/fernando-beltran," 163cm | 5'4"" ", Short & Lean- (64kg | 141lbs) ,Guadalajara,Mexico
 Ivan Ljubić ," CM, CDM, CAM |    2017 - 2023  ", 70 , 75 , 24 ,  €2.4M €10.5K , R , M / M , 2   , 3   , €4.3M ,/player/240045/ivan-ljubic," 184cm | 6'0"" ", Average (75kg | 165lbs) ,Sturm Graz,Austria
 Guglielmo Vicario , GK |    2019 - 2024  , 70 , 76 , 23 ,  €2M €10K , R , M / M , 1   , 1   , €0 ,/player/240091/guglielmo-vicario," 188cm | 6'2"" ", High & Average+ (76kg | 168lbs) ,Cagliari,Italy
 Murilo Cerqueira Paim ," CB, CDM |    2019 - 2023  ", 70 , 79 , 23 ,  €3.3M €9.9K , R , M / M , 2   , 2   , €0 ,/player/240115/murilo-cerqueira-paim," 188cm | 6'2"" ", High & Average (78kg | 172lbs) ,Lokomotiv Moskva,Brazil
 Williams Riveros , CB |    2020 - 2023  , 70 , 72 , 27 ,  €1.7M €13.5K , R , L / H , 2   , 3   , €0 ,/player/240138/williams-riveros," 186cm | 6'1"" ", High & Stocky (84kg | 185lbs) ,Barcelona SC Guayaquil,Paraguay
 Dumisani Zuma ," RM, LM, CAM |    2017 - 2023  ", 70 , 72 , 25 ,  €2M €11K , R , M / M , 3   , 4   , €0 ,/player/240164/dumisani-zuma," 169cm | 5'6"" ", Short & Lean- (72kg | 159lbs) ,Kaizer Chiefs,South Africa
 Aleš Matějů ," RB, LB |    2019 - 2022  ", 70 , 74 , 24 ,  €2.1M €8.9K , R , H / M , 3   , 3   , €0 ,/player/240282/ales-mateju," 185cm | 6'0"" ", High & Average+ (80kg | 176lbs) ,Brescia,Czech Republic
 Yevhen Makarenko ," CDM, CM |    2018 - 2022  ", 70 , 70 , 29 ,  €1.4M €8.2K , L , M / M , 3   , 3   , €0 ,/player/240309/yevhen-makarenko," 184cm | 6'0"" ", Average (84kg | 185lbs) ,Kortrijk,Ukraine
 M'Bala Nzola ," ST, RW |    2020 - 2023  ", 70 , 76 , 23 ,  €2.5M €9.6K , L , M / M , 3   , 4   , €0 ,/player/240452/m-bala-nzola," 185cm | 6'0"" ", High & Stocky (82kg | 181lbs) ,Borgocalcio (Spezia),France
 Mohamed Fouzair ," RM, LM |    2019 - 2023  ", 70 , 70 , 28 ,  €1.6M €11.5K , R , H / M , 3   , 5   , €3M ,/player/240526/mohamed-fouzair," 168cm | 5'6"" ", Short & Lean- (69kg | 152lbs) ,Al Raed,Morocco
 Ludovit Reis ," CM, CDM |    2019 - 2022  ", 70 , 80 , 20 ,  €3.5M €6K , R , M / H , 3   , 2   , €0 ,/player/240683/ludovit-reis," 178cm | 5'10"" ", Average (75kg | 165lbs) ,VfL Osnabrück,Holland
 Tyrese Campbell ," ST, RM |    2017 - 2024  ", 70 , 82 , 20 ,  €3.9M €13K , L , H / M , 3   , 4   , €0 ,/player/240783/tyrese-campbell," 183cm | 6'0"" ", Average (75kg | 165lbs) ,Stoke City,England
 Rodrigo de Souza Prado , CB |    2019 - 2021  , 70 , 74 , 24 ,  €2.1M €4.8K , R , M / M , 2   , 2   , €5M ,/player/240795/rodrigo-de-souza-prado," 191cm | 6'3"" ", High & Average (85kg | 187lbs) ,Gil Vicente FC,Brazil
 Tyrick Mitchell , LB |    2017 - 2025  , 70 , 81 , 20 ,  €3.3M €17.5K , L , H / M , 2   , 3   , €0 ,/player/240947/tyrick-mitchell," 180cm | 5'10"" ", Lean (70kg | 154lbs) ,Crystal Palace,England
 Nikola Maraš , CB |    2020 - 2024  , 70 , 77 , 24 ,  €3M €4.5K , R , M / M , 2   , 2   , €0 ,/player/241070/nikola-maras," 189cm | 6'2"" ", High & Average (79kg | 174lbs) ,UD Almería,Serbia
 Moreto Moro Cassamá , CDM |    2019 - 2024  , 70 , 78 , 22 ,  €3.4M €11K , R , M / M , 3   , 3   , €0 ,/player/241071/moreto-moro-cassama," 165cm | 5'4"" ", Short & Lean- (63kg | 139lbs) ,Stade de Reims,Guinea-Bissau
 Dani Martín , GK |    2019 - 2024  , 70 , 80 , 21 ,  €3.1M €5.9K , R , M / M , 1   , 3   , €8M ,/player/241119/dani-martin," 187cm | 6'1"" ", High & Average (77kg | 170lbs) ,Real Betis Balompié,Spain
 Jamilu Collins , LB |    2017 - 2022  , 70 , 70 , 25 ,  €1.6M €9.9K , L , H / M , 3   , 3   , €0 ,/player/241135/jamilu-collins," 183cm | 6'0"" ", Average (73kg | 161lbs) ,SC Paderborn 07,Nigeria
 Giorgi Chakvetadze ," CAM, LM, CM |    2017 - 2023  ", 70 , 79 , 20 ,  €3.5M €9K , R , M / M , 4   , 3   , €6.6M ,/player/241168/giorgi-chakvetadze," 183cm | 6'0"" ", Average (78kg | 172lbs) ,Gent,Georgia
 Šimon Falta ," LW, LM, LB |    2021 - 2023  ", 70 , 70 , 27 ,  €1.7M €14K , L , M / M , 3   , 3   , €0 ,/player/241362/simon-falta," 182cm | 5'11"" ", Average (70kg | 154lbs) ,Viktoria Plzeň,Czech Republic
 Ayrton Preciado , LM |    2018 - 2022  , 70 , 71 , 25 ,  €1.9M €13.5K , R , H / M , 3   , 3   , €0 ,/player/241412/ayrton-preciado," 181cm | 5'11"" ", Lean (72kg | 159lbs) ,Santos Laguna,Ecuador
